Designation,Department,Degree,Year,Type,Department.1,Degree.1,Year.1,Access
prof,IT,NotA,NotA,std_mat,chem,mtech,1,Yes
prof,IT,NotA,NotA,std_mat,ece,btech,3,Yes
prof,chem,NotA,NotA,std_mat,eni,btech,3,Yes
prof,pha,NotA,NotA,attdn,eni,btech,4,Yes
prof,chem,NotA,NotA,std_mat,chem,btech,1,Yes
prof,chem,NotA,NotA,std_mat,IT,btech,4,Yes
prof,eni,NotA,NotA,std_mat,ece,mtech,2,Yes
prof,IT,NotA,NotA,std_mat,eni,mtech,2,Yes
prof,chem,NotA,NotA,attdn,cse,mtech,1,Yes
prof,eni,NotA,NotA,attdn,cse,btech,2,Yes
stu,ece,BE,2,asgn,ece,BE,2,Yes
vis_prof,me,NotA,NotA,q_pr,me,mtech,1,Yes
prof,chem,NotA,NotA,std_mat,chem,mtech,2,Yes
adj_prof,ece,NotA,NotA,asgn,ece,mtech,1,Yes
prof,pha,NotA,NotA,std_mat,eni,btech,2,Yes
stu,ce,BE,3,asgn,ce,BE,3,Yes
prof,pha,NotA,NotA,std_mat,pha,btech,1,Yes
prof,IT,NotA,NotA,attdn,eni,mtech,1,Yes
prof,IT,NotA,NotA,std_mat,me,btech,4,Yes
adj_prof,cse,NotA,NotA,asgn,cse,btech,3,Yes
adj_prof,me,NotA,NotA,q_pr,me,mtech,2,Yes
prof,eni,NotA,NotA,attdn,ce,btech,2,Yes
adj_prof,cse,NotA,NotA,q_pr,cse,mtech,1,Yes
prof,chem,NotA,NotA,std_mat,pha,btech,1,Yes
prof,chem,NotA,NotA,attdn,cse,mtech,2,Yes
prof,IT,NotA,NotA,stu_rec,eni,btech,1,Yes
vis_prof,cse,NotA,NotA,q_pr,cse,mtech,1,Yes
prof,ece,NotA,NotA,proj,ece,btech,2,Yes
stu,cse,BE,1,asgn,cse,BE,1,Yes
prof,pha,NotA,NotA,std_mat,ce,btech,2,Yes
prof,chem,NotA,NotA,attdn,ece,btech,2,Yes
prof,pha,NotA,NotA,std_mat,pha,mtech,2,Yes
vis_prof,me,NotA,NotA,asgn,me,mtech,1,Yes
adj_prof,ce,NotA,NotA,q_pr,ce,btech,1,Yes
stu,cse,BE,3,asgn,cse,BE,3,Yes
prof,chem,NotA,NotA,attdn,IT,btech,2,Yes
adj_prof,ce,NotA,NotA,asgn,ce,btech,3,Yes
prof,pha,NotA,NotA,attdn,ce,btech,2,Yes
vis_prof,cse,NotA,NotA,q_pr,cse,btech,3,Yes
vis_prof,ce,NotA,NotA,q_pr,ce,btech,3,Yes
prof,IT,NotA,NotA,attdn,eni,btech,4,Yes
prof,pha,NotA,NotA,std_mat,IT,mtech,1,Yes
stu,eni,btech,1,asgn,eni,btech,1,Yes
prof,IT,NotA,NotA,std_mat,ce,btech,1,Yes
prof,IT,NotA,NotA,attdn,pha,btech,4,Yes
prof,IT,NotA,NotA,attdn,ce,btech,2,Yes
stu,pha,mtech,2,asgn,pha,mtech,2,Yes
prof,eni,NotA,NotA,attdn,cse,btech,4,Yes
prof,chem,NotA,NotA,std_mat,chem,btech,4,Yes
prof,IT,NotA,NotA,std_mat,ce,mtech,2,Yes
prof,chem,NotA,NotA,std_mat,me,btech,3,Yes
prof,chem,NotA,NotA,std_mat,IT,btech,2,Yes
prof,IT,NotA,NotA,std_mat,eni,mtech,1,Yes
prof,cse,NotA,NotA,proj,cse,btech,2,Yes
officer,accounts,NotA,NotA,dept_bud,ece,NotA,NotA,Yes
prof,chem,NotA,NotA,std_mat,ece,btech,3,Yes
prof,pha,NotA,NotA,attdn,pha,btech,1,Yes
prof,pha,NotA,NotA,std_mat,me,btech,1,Yes
adj_prof,cse,NotA,NotA,q_pr,cse,btech,2,Yes
stu,pha,mtech,1,asgn,pha,mtech,1,Yes
prof,eni,NotA,NotA,attdn,cse,btech,3,Yes
prof,pha,NotA,NotA,std_mat,me,btech,2,Yes
prof,pha,NotA,NotA,attdn,cse,mtech,1,Yes
stu,me,ME,1,asgn,me,ME,1,Yes
prof,chem,NotA,NotA,std_mat,ce,mtech,2,Yes
prof,eni,NotA,NotA,std_mat,ece,btech,4,Yes
vis_prof,me,NotA,NotA,q_pr,me,btech,2,Yes
prof,IT,NotA,NotA,attdn,me,mtech,1,Yes
prof,IT,NotA,NotA,std_mat,pha,btech,4,Yes
prof,eni,NotA,NotA,std_mat,me,mtech,2,Yes
prof,IT,NotA,NotA,std_mat,me,mtech,1,Yes
prof,pha,NotA,NotA,attdn,ece,btech,2,Yes
prof,cse,NotA,NotA,proj,cse,btech,4,Yes
prof,IT,NotA,NotA,std_mat,me,btech,2,Yes
adj_prof,me,NotA,NotA,asgn,me,btech,2,Yes
prof,IT,NotA,NotA,std_mat,chem,btech,1,Yes
prof,chem,NotA,NotA,std_mat,IT,btech,1,Yes
prof,IT,NotA,NotA,attdn,chem,mtech,2,Yes
vis_prof,ece,NotA,NotA,q_pr,ece,btech,2,Yes
prof,IT,NotA,NotA,attdn,chem,btech,2,Yes
prof,IT,NotA,NotA,attdn,me,btech,1,Yes
prof,eni,NotA,NotA,attdn,chem,btech,1,Yes
stu,ce,BE,4,asgn,ce,BE,4,Yes
prof,IT,NotA,NotA,std_mat,pha,btech,2,Yes
prof,pha,NotA,NotA,std_mat,ece,btech,2,Yes
prof,pha,NotA,NotA,std_mat,chem,btech,2,Yes
prof,ce,NotA,NotA,quiz,ce,btech,3,Yes
prof,eni,NotA,NotA,std_mat,me,btech,2,Yes
adj_prof,ece,NotA,NotA,q_pr,ece,mtech,1,Yes
stu,eni,btech,4,asgn,eni,btech,4,Yes
adj_prof,me,NotA,NotA,asgn,me,mtech,2,Yes
prof,eni,NotA,NotA,std_mat,chem,mtech,1,Yes
adj_prof,ece,NotA,NotA,q_pr,ece,btech,4,Yes
vis_prof,ce,NotA,NotA,q_pr,ce,btech,4,Yes
vis_prof,me,NotA,NotA,asgn,me,mtech,2,Yes
prof,chem,NotA,NotA,std_mat,me,btech,1,Yes
prof,chem,NotA,NotA,std_mat,me,btech,2,Yes
