Designation,Department,Degree,Year,Type,Department.1,Degree.1,Year.1,Access
officer,eni,BE,NotA,dept_bud,eni,BE,4,Yes
vis_prof,IT,ME,1,std_mat,IT,ME,1,Yes
vis_prof,pha,BE,NotA,std_mat,pha,BE,1,Yes
adj_prof,pha,BE,1,std_mat,pha,BE,1,Yes
vis_prof,IT,BE,4,stu_rec,IT,BE,4,Yes
prof,chem,ME,NotA,proj,chem,ME,3,Yes
adj_prof,IT,BE,2,attdn,IT,BE,2,Yes
adj_prof,eni,ME,NotA,asgn,eni,ME,3,Yes
stu,pha,BE,4,dept_bud,pha,BE,4,Yes
adj_prof,IT,NotA,NotA,quiz,IT,btech,4,Yes
stu,IT,BE,1,dept_bud,IT,BE,1,Yes
vis_prof,eni,NotA,NotA,proj,eni,btech,4,Yes
adj_prof,pha,BE,NotA,q_pr,pha,BE,1,Yes
stu,pha,BE,2,quiz,pha,BE,2,Yes
adj_prof,chem,NotA,NotA,quiz,chem,mtech,3,Yes
adj_prof,chem,NotA,NotA,quiz,chem,mtech,2,Yes
vis_prof,eni,ME,NotA,q_pr,eni,ME,4,Yes
stu,eni,BE,4,proj,eni,BE,4,Yes
vis_prof,IT,ME,NotA,std_mat,IT,ME,4,Yes
adj_prof,pha,ME,NotA,asgn,pha,ME,3,Yes
adj_prof,pha,BE,NotA,std_mat,pha,BE,4,Yes
adj_prof,pha,BE,NotA,q_pr,pha,BE,4,Yes
vis_prof,IT,BE,NotA,q_pr,IT,BE,3,Yes
stu,eni,ME,1,dept_bud,eni,ME,1,Yes
stu,pha,BE,2,proj,pha,BE,2,Yes
vis_prof,chem,NotA,NotA,proj,chem,mtech,1,Yes
stu,IT,ME,2,proj,IT,ME,2,Yes
adj_prof,IT,BE,NotA,std_mat,IT,BE,3,Yes
vis_prof,eni,ME,NotA,asgn,eni,ME,2,Yes
adj_prof,IT,NotA,NotA,proj,IT,mtech,1,Yes
stu,pha,ME,2,quiz,pha,ME,2,Yes
adj_prof,pha,ME,NotA,std_mat,pha,ME,2,Yes
adj_prof,IT,NotA,NotA,proj,IT,mtech,1,Yes
vis_prof,IT,BE,1,std_mat,IT,BE,1,Yes
vis_prof,eni,BE,2,grade_book,eni,BE,2,Yes
vis_prof,IT,BE,NotA,q_pr,IT,BE,2,Yes
vis_prof,pha,ME,NotA,asgn,pha,ME,1,Yes
vis_prof,IT,BE,NotA,std_mat,IT,BE,3,Yes
prof,pha,BE,NotA,quiz,pha,BE,2,Yes
adj_prof,pha,NotA,NotA,dept_bud,pha,mtech,2,Yes
adj_prof,IT,ME,NotA,q_pr,IT,ME,4,Yes
stu,chem,ME,1,proj,chem,ME,1,Yes
vis_prof,chem,NotA,NotA,quiz,chem,btech,4,Yes
vis_prof,chem,BE,NotA,std_mat,chem,BE,2,Yes
stu,pha,BE,2,proj,pha,BE,2,Yes
vis_prof,eni,NotA,NotA,dept_bud,eni,mtech,2,Yes
adj_prof,eni,ME,NotA,std_mat,eni,ME,1,Yes
vis_prof,IT,BE,NotA,asgn,IT,BE,1,Yes
adj_prof,pha,NotA,NotA,proj,pha,btech,1,Yes
prof,chem,ME,NotA,proj,chem,ME,1,Yes
adj_prof,IT,ME,NotA,std_mat,IT,ME,2,Yes
adj_prof,pha,ME,2,std_mat,pha,ME,2,Yes
officer,IT,BE,NotA,dept_bud,IT,BE,4,Yes
vis_prof,chem,BE,4,grade_book,chem,BE,4,Yes
stu,IT,BE,1,proj,IT,BE,1,Yes
adj_prof,chem,ME,NotA,std_mat,chem,ME,4,Yes
adj_prof,eni,BE,NotA,std_mat,eni,BE,2,Yes
vis_prof,IT,ME,NotA,std_mat,IT,ME,1,Yes
adj_prof,IT,NotA,NotA,proj,IT,mtech,3,Yes
prof,pha,ME,NotA,proj,pha,ME,4,Yes
adj_prof,pha,BE,1,grade_book,pha,BE,1,Yes
vis_prof,chem,BE,NotA,q_pr,chem,BE,3,Yes
vis_prof,eni,BE,NotA,std_mat,eni,BE,3,Yes
vis_prof,IT,BE,NotA,std_mat,IT,BE,2,Yes
prof,IT,ME,NotA,proj,IT,ME,2,Yes
vis_prof,eni,BE,NotA,std_mat,eni,BE,3,Yes
adj_prof,pha,ME,NotA,q_pr,pha,ME,2,Yes
adj_prof,eni,NotA,NotA,dept_bud,eni,mtech,1,Yes
prof,pha,ME,NotA,quiz,pha,ME,4,Yes
adj_prof,eni,ME,NotA,std_mat,eni,ME,2,Yes
adj_prof,chem,BE,NotA,asgn,chem,BE,3,Yes
vis_prof,chem,BE,NotA,std_mat,chem,BE,2,Yes
adj_prof,chem,NotA,NotA,dept_bud,chem,mtech,2,Yes
adj_prof,eni,NotA,NotA,dept_bud,eni,NotA,1,Yes
stu,eni,BE,3,quiz,eni,BE,3,Yes
vis_prof,chem,NotA,NotA,quiz,chem,btech,3,Yes
vis_prof,IT,BE,NotA,std_mat,IT,BE,2,Yes
prof,IT,ME,NotA,quiz,IT,ME,3,Yes
vis_prof,chem,BE,NotA,asgn,chem,BE,2,Yes
stu,pha,BE,4,dept_bud,pha,BE,4,Yes
vis_prof,eni,NotA,NotA,quiz,eni,btech,3,Yes
adj_prof,pha,NotA,NotA,dept_bud,pha,btech,3,Yes
stu,chem,BE,1,dept_bud,chem,BE,1,Yes
adj_prof,IT,BE,NotA,std_mat,IT,BE,2,Yes
stu,eni,BE,1,proj,eni,BE,1,Yes
adj_prof,pha,NotA,NotA,dept_bud,pha,mtech,1,Yes
prof,IT,BE,NotA,proj,IT,BE,2,Yes
adj_prof,eni,BE,3,stu_rec,eni,BE,3,Yes
vis_prof,chem,ME,NotA,asgn,chem,ME,4,Yes
prof,chem,BE,NotA,quiz,chem,BE,4,Yes
stu,IT,BE,4,quiz,IT,BE,4,Yes
vis_prof,pha,NotA,NotA,dept_bud,pha,NotA,3,Yes
adj_prof,pha,ME,NotA,q_pr,pha,ME,3,Yes
adj_prof,chem,BE,3,grade_book,chem,BE,3,Yes
officer,IT,BE,NotA,dept_bud,IT,BE,1,Yes
vis_prof,chem,NotA,NotA,proj,chem,mtech,2,Yes
adj_prof,eni,BE,NotA,q_pr,eni,BE,2,Yes
vis_prof,eni,ME,NotA,std_mat,eni,ME,2,Yes
vis_prof,eni,NotA,NotA,proj,eni,btech,4,Yes
vis_prof,eni,NotA,NotA,dept_bud,eni,btech,3,Yes
vis_prof,eni,BE,2,stu_rec,eni,BE,2,Yes
prof,eni,ME,NotA,quiz,eni,ME,2,Yes
vis_prof,IT,BE,NotA,q_pr,IT,BE,3,Yes
stu,eni,BE,1,dept_bud,eni,BE,1,Yes
adj_prof,chem,ME,NotA,asgn,chem,ME,2,Yes
stu,chem,BE,3,quiz,chem,BE,3,Yes
officer,chem,ME,NotA,dept_bud,chem,ME,1,Yes
adj_prof,IT,NotA,NotA,quiz,IT,mtech,4,Yes
adj_prof,IT,BE,NotA,asgn,IT,BE,2,Yes
adj_prof,chem,ME,NotA,q_pr,chem,ME,4,Yes
stu,eni,BE,3,proj,eni,BE,3,Yes
vis_prof,chem,BE,NotA,q_pr,chem,BE,4,Yes
stu,pha,ME,1,proj,pha,ME,1,Yes
adj_prof,eni,BE,1,stu_rec,eni,BE,1,Yes
stu,eni,ME,2,proj,eni,ME,2,Yes
adj_prof,IT,BE,NotA,asgn,IT,BE,2,Yes
vis_prof,IT,BE,NotA,q_pr,IT,BE,4,Yes
vis_prof,chem,ME,NotA,q_pr,chem,ME,2,Yes
prof,IT,ME,NotA,proj,IT,ME,1,Yes
vis_prof,eni,NotA,NotA,quiz,eni,btech,1,Yes
stu,IT,ME,2,dept_bud,IT,ME,2,Yes
vis_prof,chem,BE,4,attdn,chem,BE,4,Yes
vis_prof,chem,BE,NotA,std_mat,chem,BE,1,Yes
adj_prof,chem,BE,NotA,std_mat,chem,BE,2,Yes
vis_prof,IT,BE,3,std_mat,IT,BE,3,Yes
