Designation,Post,Course,Department,Degree,Year,Type,Department.1,Course.1,Degree.1,Year.1,Access
Stud_representative,Undergraduate,IT_2,IT,BTech,1,assgn,IT,IT_1,BTech,1,No
Stud_representative,Undergraduate,IT_3,IT,BTech,1,assgn,IT,IT_1,BTech,1,No
Stud_representative,Undergraduate,IT_4,IT,BTech,1,assgn,IT,IT_1,BTech,1,No
Stud_representative,Undergraduate,IT_5,IT,BTech,1,assgn,IT,IT_1,BTech,1,No
Stud_representative,Undergraduate,IT_6,IT,BTech,1,assgn,IT,IT_1,BTech,1,No
Stud_representative,Undergraduate,IT_7,IT,BTech,1,assgn,IT,IT_1,BTech,1,No
Stud_representative,Undergraduate,IT_8,IT,BTech,1,assgn,IT,IT_1,BTech,1,No
Stud_representative,Undergraduate,IT_9,IT,BTech,1,assgn,IT,IT_1,BTech,1,No
Stud_representative,Undergraduate,IT_10,IT,BTech,1,assgn,IT,IT_1,BTech,1,No
Stud_representative,Undergraduate,IT_11,IT,BTech,1,assgn,IT,IT_1,BTech,1,No
Stud_representative,Undergraduate,IT_12,IT,BTech,1,assgn,IT,IT_1,BTech,1,No
Stud_representative,Undergraduate,IT_13,IT,BTech,1,assgn,IT,IT_1,BTech,1,No
Stud_representative,Undergraduate,IT_14,IT,BTech,1,assgn,IT,IT_1,BTech,1,No
Stud_representative,Undergraduate,IT_18,IT,BTech,1,assgn,IT,IT_1,BTech,1,No
Stud_representative,Undergraduate,IT_19,IT,BTech,1,assgn,IT,IT_1,BTech,1,No
Stud_representative,Undergraduate,IT_20,IT,BTech,1,assgn,IT,IT_1,BTech,1,No
Stud_representative,Undergraduate,IT_1,IT,BTech,1,assgn,IT,IT_10,BTech,1,No
Stud_representative,Undergraduate,IT_2,IT,BTech,1,assgn,IT,IT_10,BTech,1,No
Stud_representative,Undergraduate,IT_3,IT,BTech,1,assgn,IT,IT_10,BTech,1,No
Stud_representative,Undergraduate,IT_4,IT,BTech,1,assgn,IT,IT_10,BTech,1,No
Stud_representative,Undergraduate,IT_5,IT,BTech,1,assgn,IT,IT_10,BTech,1,No
Stud_representative,Undergraduate,IT_6,IT,BTech,1,assgn,IT,IT_10,BTech,1,No
Stud_representative,Undergraduate,IT_7,IT,BTech,1,assgn,IT,IT_10,BTech,1,No
Stud_representative,Undergraduate,IT_8,IT,BTech,1,assgn,IT,IT_10,BTech,1,No
Stud_representative,Undergraduate,IT_9,IT,BTech,1,assgn,IT,IT_10,BTech,1,No
Stud_representative,Undergraduate,IT_14,IT,BTech,1,assgn,IT,IT_10,BTech,1,No
Stud_representative,Undergraduate,IT_15,IT,BTech,1,assgn,IT,IT_10,BTech,1,No
Stud_representative,Undergraduate,IT_16,IT,BTech,1,assgn,IT,IT_10,BTech,1,No
Stud_representative,Undergraduate,IT_17,IT,BTech,1,assgn,IT,IT_10,BTech,1,No
Stud_representative,Undergraduate,IT_18,IT,BTech,1,assgn,IT,IT_10,BTech,1,No
Stud_representative,Undergraduate,IT_19,IT,BTech,1,assgn,IT,IT_10,BTech,1,No
Stud_representative,Undergraduate,IT_20,IT,BTech,1,assgn,IT,IT_10,BTech,1,No
Stud_representative,Undergraduate,IT_1,IT,BTech,1,assgn,IT,IT_11,BTech,1,No
Stud_representative,Undergraduate,IT_2,IT,BTech,1,assgn,IT,IT_11,BTech,1,No
Stud_representative,Undergraduate,IT_3,IT,BTech,1,assgn,IT,IT_11,BTech,1,No
Stud_representative,Undergraduate,IT_4,IT,BTech,1,assgn,IT,IT_11,BTech,1,No
Stud_representative,Undergraduate,IT_5,IT,BTech,1,assgn,IT,IT_11,BTech,1,No
Stud_representative,Undergraduate,IT_6,IT,BTech,1,assgn,IT,IT_11,BTech,1,No
Stud_representative,Undergraduate,IT_17,IT,BTech,1,assgn,IT,IT_11,BTech,1,No
Stud_representative,Undergraduate,IT_18,IT,BTech,1,assgn,IT,IT_11,BTech,1,No
Stud_representative,Undergraduate,IT_19,IT,BTech,1,assgn,IT,IT_11,BTech,1,No
Stud_representative,Undergraduate,IT_20,IT,BTech,1,assgn,IT,IT_11,BTech,1,No
Stud_representative,Undergraduate,IT_1,IT,BTech,1,assgn,IT,IT_12,BTech,1,No
Stud_representative,Undergraduate,IT_2,IT,BTech,1,assgn,IT,IT_12,BTech,1,No
Stud_representative,Undergraduate,IT_3,IT,BTech,1,assgn,IT,IT_12,BTech,1,No
Stud_representative,Undergraduate,IT_4,IT,BTech,1,assgn,IT,IT_12,BTech,1,No
Stud_representative,Undergraduate,IT_5,IT,BTech,1,assgn,IT,IT_12,BTech,1,No
Stud_representative,Undergraduate,IT_6,IT,BTech,1,assgn,IT,IT_12,BTech,1,No
Stud_representative,Undergraduate,IT_7,IT,BTech,1,assgn,IT,IT_12,BTech,1,No
Stud_representative,Undergraduate,IT_8,IT,BTech,1,assgn,IT,IT_12,BTech,1,No
Stud_representative,Undergraduate,IT_9,IT,BTech,1,assgn,IT,IT_12,BTech,1,No
Stud_representative,Undergraduate,IT_10,IT,BTech,1,assgn,IT,IT_12,BTech,1,No
Stud_representative,Undergraduate,IT_11,IT,BTech,1,assgn,IT,IT_12,BTech,1,No
Stud_representative,Undergraduate,IT_16,IT,BTech,1,assgn,IT,IT_12,BTech,1,No
Stud_representative,Undergraduate,IT_17,IT,BTech,1,assgn,IT,IT_12,BTech,1,No
Stud_representative,Undergraduate,IT_18,IT,BTech,1,assgn,IT,IT_12,BTech,1,No
Stud_representative,Undergraduate,IT_19,IT,BTech,1,assgn,IT,IT_12,BTech,1,No
Stud_representative,Undergraduate,IT_20,IT,BTech,1,assgn,IT,IT_12,BTech,1,No
Stud_representative,Undergraduate,IT_1,IT,BTech,1,assgn,IT,IT_13,BTech,1,No
Stud_representative,Undergraduate,IT_2,IT,BTech,1,assgn,IT,IT_13,BTech,1,No
Stud_representative,Undergraduate,IT_3,IT,BTech,1,assgn,IT,IT_13,BTech,1,No
Stud_representative,Undergraduate,IT_4,IT,BTech,1,assgn,IT,IT_13,BTech,1,No
Stud_representative,Undergraduate,IT_5,IT,BTech,1,assgn,IT,IT_13,BTech,1,No
Stud_representative,Undergraduate,IT_6,IT,BTech,1,assgn,IT,IT_13,BTech,1,No
Stud_representative,Undergraduate,IT_7,IT,BTech,1,assgn,IT,IT_13,BTech,1,No
Stud_representative,Undergraduate,IT_8,IT,BTech,1,assgn,IT,IT_13,BTech,1,No
Stud_representative,Undergraduate,IT_15,IT,BTech,1,assgn,IT,IT_13,BTech,1,No
Stud_representative,Undergraduate,IT_16,IT,BTech,1,assgn,IT,IT_13,BTech,1,No
Stud_representative,Undergraduate,IT_17,IT,BTech,1,assgn,IT,IT_13,BTech,1,No
Stud_representative,Undergraduate,IT_18,IT,BTech,1,assgn,IT,IT_13,BTech,1,No
Stud_representative,Undergraduate,IT_19,IT,BTech,1,assgn,IT,IT_13,BTech,1,No
Stud_representative,Undergraduate,IT_20,IT,BTech,1,assgn,IT,IT_13,BTech,1,No
Stud_representative,Undergraduate,IT_4,IT,BTech,1,assgn,IT,IT_14,BTech,1,No
Stud_representative,Undergraduate,IT_5,IT,BTech,1,assgn,IT,IT_14,BTech,1,No
Stud_representative,Undergraduate,IT_6,IT,BTech,1,assgn,IT,IT_14,BTech,1,No
Stud_representative,Undergraduate,IT_7,IT,BTech,1,assgn,IT,IT_14,BTech,1,No
Stud_representative,Undergraduate,IT_8,IT,BTech,1,assgn,IT,IT_14,BTech,1,No
Stud_representative,Undergraduate,IT_9,IT,BTech,1,assgn,IT,IT_14,BTech,1,No
Stud_representative,Undergraduate,IT_10,IT,BTech,1,assgn,IT,IT_14,BTech,1,No
Stud_representative,Undergraduate,IT_11,IT,BTech,1,assgn,IT,IT_14,BTech,1,No
Stud_representative,Undergraduate,IT_12,IT,BTech,1,assgn,IT,IT_14,BTech,1,No
Stud_representative,Undergraduate,IT_13,IT,BTech,1,assgn,IT,IT_14,BTech,1,No
Stud_representative,Undergraduate,IT_15,IT,BTech,1,assgn,IT,IT_14,BTech,1,No
Stud_representative,Undergraduate,IT_16,IT,BTech,1,assgn,IT,IT_14,BTech,1,No
Stud_representative,Undergraduate,IT_19,IT,BTech,1,assgn,IT,IT_14,BTech,1,No
Stud_representative,Undergraduate,IT_20,IT,BTech,1,assgn,IT,IT_14,BTech,1,No
Stud_representative,Undergraduate,IT_1,IT,BTech,1,assgn,IT,IT_15,BTech,1,No
