Designation,Post,Course,Department,Degree,Year,Type,Department.1,Course.1,Degree.1,Year.1,Access
Faculty,Assistant,IT_16,IT,NotA,NotA,compre_paper,IT,IT_19,BTech,1,Yes
Faculty,Associate,IT_8,IT,NotA,NotA,mids_paper,IT,IT_9,BTech,1,Yes
Faculty,Assistant,IT_8,IT,NotA,NotA,answer_sheet,IT,IT_14,BTech,2,Yes
Faculty,Associate,IT_12,IT,NotA,NotA,compre_paper,IT,IT_20,BTech,2,Yes
Teaching_assis,Temporary,Mech_1,Mech,BTech,1,report_assgn,Mech,Mech_2,BTech,1,Yes
Faculty,Associate,IT_6,IT,NotA,NotA,compre_paper,IT,IT_16,BTech,3,Yes
Teaching_assis,Temporary,ECE_21,ECE,MTech,1,report_assgn,ECE,ECE_22,MTech,1,Yes
Faculty,Associate,IT_3,IT,NotA,NotA,compre_paper,IT,IT_6,BTech,1,Yes
Faculty,Assistant,IT_7,IT,NotA,NotA,mids_paper,IT,IT_17,BTech,3,Yes
Teaching_assis,Temporary,CSE_18,CSE,BTech,4,report_assgn,CSE,CSE_20,BTech,4,Yes
Faculty,Assistant,IT_5,IT,NotA,NotA,assgn,IT,IT_13,BTech,2,Yes
Faculty,Assistant,IT_2,IT,NotA,NotA,assgn,IT,IT_14,BTech,3,Yes
Faculty,Associate,IT_14,IT,NotA,NotA,compre_paper,IT,IT_19,BTech,2,Yes
Faculty,Associate,IT_6,IT,NotA,NotA,compre_paper,IT,IT_9,BTech,1,Yes
Faculty,Assistant,IT_8,IT,NotA,NotA,compre_paper,IT,IT_18,BTech,3,Yes
Faculty,Assistant,IT_8,IT,NotA,NotA,assgn,IT,IT_13,BTech,2,Yes
Faculty,Assistant,IT_10,IT,NotA,NotA,compre_paper,IT,IT_13,BTech,1,Yes
Faculty,Assistant,IT_12,IT,NotA,NotA,assgn,IT,IT_16,BTech,1,Yes
Faculty,Assistant,IT_4,IT,NotA,NotA,compre_paper,IT,IT_11,BTech,2,Yes
Faculty,Associate,IT_4,IT,NotA,NotA,mids_paper,IT,IT_19,BTech,3,Yes
Teaching_assis,Temporary,CE_20,CE,BTech,4,report_assgn,CE,CE_20,BTech,4,Yes
Faculty,Assistant,IT_9,IT,NotA,NotA,mids_paper,IT,IT_15,BTech,2,Yes
Faculty,Assistant,IT_4,IT,NotA,NotA,answer_sheet,IT,IT_10,BTech,2,Yes
Faculty,Associate,IT_6,IT,NotA,NotA,mids_paper,IT,IT_15,BTech,2,Yes
Faculty,Assistant,IT_6,IT,NotA,NotA,answer_sheet,IT,IT_13,BTech,2,Yes
Faculty,Assistant,IT_14,IT,NotA,NotA,mids_paper,IT,IT_17,BTech,1,Yes
Faculty,Associate,IT_2,IT,NotA,NotA,mids_paper,IT,IT_6,BTech,1,Yes
Faculty,Associate,IT_6,IT,NotA,NotA,compre_paper,IT,IT_8,BTech,1,Yes
Faculty,Assistant,IT_6,IT,NotA,NotA,mids_paper,IT,IT_9,BTech,1,Yes
Faculty,Assistant,IT_15,IT,NotA,NotA,assgn,IT,IT_20,BTech,2,Yes
Faculty,Assistant,IT_14,IT,NotA,NotA,compre_paper,IT,IT_20,BTech,2,Yes
Teaching_assis,Temporary,ECE_8,ECE,BTech,2,report_assgn,ECE,ECE_10,BTech,2,Yes
Faculty,Assistant,IT_3,IT,NotA,NotA,compre_paper,IT,IT_10,BTech,2,Yes
Faculty,Assistant,IT_3,IT,NotA,NotA,assgn,IT,IT_7,BTech,1,Yes
Faculty,Assistant,IT_1,IT,NotA,NotA,compre_paper,IT,IT_9,BTech,2,Yes
Faculty,Associate,IT_8,IT,NotA,NotA,mids_paper,IT,IT_16,BTech,2,Yes
Faculty,Assistant,IT_5,IT,NotA,NotA,compre_paper,IT,IT_9,BTech,1,Yes
Teaching_assis,Temporary,Mech_31,Mech,BTech,1,answer_sheet,Mech,Mech_4,BTech,1,Yes
Faculty,Assistant,IT_5,IT,NotA,NotA,compre_paper,IT,IT_14,BTech,2,Yes
Faculty,Assistant,IT_12,IT,NotA,NotA,answer_sheet,IT,IT_20,BTech,2,Yes
Faculty,Assistant,IT_6,IT,NotA,NotA,compre_paper,IT,IT_15,BTech,2,Yes
Faculty,Assistant,IT_14,IT,NotA,NotA,assgn,IT,IT_16,BTech,1,Yes
Faculty,Assistant,IT_5,IT,NotA,NotA,mids_paper,IT,IT_12,BTech,2,Yes
Faculty,Assistant,IT_3,IT,NotA,NotA,compre_paper,IT,IT_17,BTech,3,Yes
Faculty,Assistant,IT_1,IT,NotA,NotA,answer_sheet,IT,IT_17,BTech,3,Yes
Faculty,Assistant,IT_5,IT,NotA,NotA,assgn,IT,IT_18,BTech,3,Yes
Faculty,Assistant,IT_9,IT,NotA,NotA,mids_paper,IT,IT_10,BTech,1,Yes
Faculty,Associate,IT_3,IT,NotA,NotA,mids_paper,IT,IT_15,BTech,3,Yes
Faculty,Assistant,IT_7,IT,NotA,NotA,answer_sheet,IT,IT_9,BTech,1,Yes
Faculty,Assistant,IT_10,IT,NotA,NotA,assgn,IT,IT_11,BTech,1,Yes
Stud,Undergraduate,IT_17,IT,BTech,2,attendance,IT,IT_17,BTech,1,Yes
Faculty,Assistant,IT_10,IT,NotA,NotA,mids_paper,IT,IT_17,BTech,2,Yes
