Designation,Post,Course,Department,Degree,Year,Type,Department.1,Course.1,Degree.1,Year.1,Access,Designation_train,Post_train,Course_train,Department_train,Degree_train,Year_train,Type_train,Department.1_train,Course.1_train,Degree.1_train,Year.1_train,Access_train
Teaching_assis,PhD,IT_10,IT,BTech,2,report_assgn,IT,IT_10,BTech,1,No,Stud,Undergraduate,CSE_1,CSE,BTech,1,assgn,CSE,CSE_1,BTech,1,Yes
Teaching_assis,PhD,IT_11,IT,BTech,3,report_assgn,IT,IT_11,BTech,1,No,Stud,Undergraduate,CSE_1,CSE,BTech,1,assgn,CSE,CSE_1,BTech,1,Yes
Teaching_assis,PhD,IT_12,IT,BTech,4,report_assgn,IT,IT_12,BTech,1,No,Stud,Undergraduate,CSE_1,CSE,BTech,1,assgn,CSE,CSE_1,BTech,1,Yes
Teaching_assis,PhD,IT_14,IT,BTech,2,report_assgn,IT,IT_14,BTech,1,No,Stud,Undergraduate,CSE_1,CSE,BTech,1,assgn,CSE,CSE_1,BTech,1,Yes
Teaching_assis,PhD,IT_15,IT,BTech,3,report_assgn,IT,IT_15,BTech,1,No,Stud,Undergraduate,CSE_1,CSE,BTech,1,assgn,CSE,CSE_1,BTech,1,Yes
Teaching_assis,PhD,IT_16,IT,BTech,4,report_assgn,IT,IT_16,BTech,1,No,Stud,Undergraduate,CSE_1,CSE,BTech,1,assgn,CSE,CSE_1,BTech,1,Yes
Teaching_assis,PhD,IT_18,IT,BTech,2,report_assgn,IT,IT_18,BTech,1,No,Stud,Undergraduate,CSE_1,CSE,BTech,1,assgn,CSE,CSE_1,BTech,1,Yes
Teaching_assis,PhD,IT_19,IT,BTech,3,report_assgn,IT,IT_19,BTech,1,No,Stud,Undergraduate,CSE_1,CSE,BTech,1,assgn,CSE,CSE_1,BTech,1,Yes
Teaching_assis,PhD,IT_2,IT,BTech,2,report_assgn,IT,IT_2,BTech,1,No,Stud,Undergraduate,CSE_1,CSE,BTech,1,assgn,CSE,CSE_1,BTech,1,Yes
Teaching_assis,PhD,IT_20,IT,BTech,4,report_assgn,IT,IT_20,BTech,1,No,Stud,Undergraduate,CSE_1,CSE,BTech,1,assgn,CSE,CSE_1,BTech,1,Yes
Teaching_assis,PhD,IT_3,IT,BTech,3,report_assgn,IT,IT_3,BTech,1,No,Stud,Undergraduate,CSE_1,CSE,BTech,1,assgn,CSE,CSE_1,BTech,1,Yes
Teaching_assis,PhD,IT_4,IT,BTech,4,report_assgn,IT,IT_4,BTech,1,No,Stud,Undergraduate,CSE_1,CSE,BTech,1,assgn,CSE,CSE_1,BTech,1,Yes
Teaching_assis,PhD,IT_6,IT,BTech,2,report_assgn,IT,IT_6,BTech,1,No,Stud,Undergraduate,CSE_1,CSE,BTech,1,assgn,CSE,CSE_1,BTech,1,Yes
Teaching_assis,PhD,IT_7,IT,BTech,3,report_assgn,IT,IT_7,BTech,1,No,Stud,Undergraduate,CSE_1,CSE,BTech,1,assgn,CSE,CSE_1,BTech,1,Yes
Teaching_assis,PhD,IT_8,IT,BTech,4,report_assgn,IT,IT_8,BTech,1,No,Stud,Undergraduate,CSE_1,CSE,BTech,1,assgn,CSE,CSE_1,BTech,1,Yes
Teaching_assis,PhD,IT_1,IT,BTech,1,report_assgn,IT,IT_1,BTech,2,No,Stud,Undergraduate,CSE_1,CSE,BTech,1,assgn,CSE,CSE_1,BTech,1,Yes
Teaching_assis,PhD,IT_11,IT,BTech,3,report_assgn,IT,IT_11,BTech,2,No,Stud,Undergraduate,CSE_1,CSE,BTech,1,assgn,CSE,CSE_1,BTech,1,Yes
Teaching_assis,PhD,IT_12,IT,BTech,4,report_assgn,IT,IT_12,BTech,2,No,Stud,Undergraduate,CSE_1,CSE,BTech,1,assgn,CSE,CSE_1,BTech,1,Yes
Teaching_assis,PhD,IT_13,IT,BTech,1,report_assgn,IT,IT_13,BTech,2,No,Stud,Undergraduate,CSE_1,CSE,BTech,1,assgn,CSE,CSE_1,BTech,1,Yes
Teaching_assis,PhD,IT_15,IT,BTech,3,report_assgn,IT,IT_15,BTech,2,No,Stud,Undergraduate,CSE_1,CSE,BTech,1,assgn,CSE,CSE_1,BTech,1,Yes
Teaching_assis,PhD,IT_16,IT,BTech,4,report_assgn,IT,IT_16,BTech,2,No,Stud,Undergraduate,CSE_1,CSE,BTech,1,assgn,CSE,CSE_1,BTech,1,Yes
Teaching_assis,PhD,IT_17,IT,BTech,1,report_assgn,IT,IT_17,BTech,2,No,Stud,Undergraduate,CSE_1,CSE,BTech,1,assgn,CSE,CSE_1,BTech,1,Yes
Teaching_assis,PhD,IT_19,IT,BTech,3,report_assgn,IT,IT_19,BTech,2,No,Stud,Undergraduate,CSE_1,CSE,BTech,1,assgn,CSE,CSE_1,BTech,1,Yes
Teaching_assis,PhD,IT_20,IT,BTech,4,report_assgn,IT,IT_20,BTech,2,No,Stud,Undergraduate,CSE_1,CSE,BTech,1,assgn,CSE,CSE_1,BTech,1,Yes
Teaching_assis,PhD,IT_3,IT,BTech,3,report_assgn,IT,IT_3,BTech,2,No,Stud,Undergraduate,CSE_1,CSE,BTech,1,assgn,CSE,CSE_1,BTech,1,Yes
Teaching_assis,PhD,IT_4,IT,BTech,4,report_assgn,IT,IT_4,BTech,2,No,Stud,Undergraduate,CSE_1,CSE,BTech,1,assgn,CSE,CSE_1,BTech,1,Yes
Teaching_assis,PhD,IT_5,IT,BTech,1,report_assgn,IT,IT_5,BTech,2,No,Stud,Undergraduate,CSE_1,CSE,BTech,1,assgn,CSE,CSE_1,BTech,1,Yes
Teaching_assis,PhD,IT_7,IT,BTech,3,report_assgn,IT,IT_7,BTech,2,No,Stud,Undergraduate,CSE_1,CSE,BTech,1,assgn,CSE,CSE_1,BTech,1,Yes
Teaching_assis,PhD,IT_8,IT,BTech,4,report_assgn,IT,IT_8,BTech,2,No,Stud,Undergraduate,CSE_1,CSE,BTech,1,assgn,CSE,CSE_1,BTech,1,Yes
Teaching_assis,PhD,IT_9,IT,BTech,1,report_assgn,IT,IT_9,BTech,2,No,Stud,Undergraduate,CSE_1,CSE,BTech,1,assgn,CSE,CSE_1,BTech,1,Yes
Teaching_assis,PhD,IT_1,IT,BTech,1,report_assgn,IT,IT_1,BTech,3,No,Stud,Undergraduate,CSE_1,CSE,BTech,1,assgn,CSE,CSE_1,BTech,1,Yes
Teaching_assis,PhD,IT_10,IT,BTech,2,report_assgn,IT,IT_10,BTech,3,No,Stud,Undergraduate,CSE_1,CSE,BTech,1,assgn,CSE,CSE_1,BTech,1,Yes
Teaching_assis,PhD,IT_12,IT,BTech,4,report_assgn,IT,IT_12,BTech,3,No,Stud,Undergraduate,CSE_1,CSE,BTech,1,assgn,CSE,CSE_1,BTech,1,Yes
Teaching_assis,PhD,IT_13,IT,BTech,1,report_assgn,IT,IT_13,BTech,3,No,Stud,Undergraduate,CSE_1,CSE,BTech,1,assgn,CSE,CSE_1,BTech,1,Yes
