DESIGNATION,Project_name,Department,Experience_level,Resource,Project_name.1,Resource_clearance,Department.1,Access
PRINCIPAL,NotA,DEVELOPMENT,junior,SALARY_DETAIL,P3,low,HR,NO
PRINCIPAL,NotA,DEVELOPMENT,junior,CLIENT_DETAIL,P3,low,HR,YES
PRINCIPAL,NotA,DEVELOPMENT,intermediate,EMP_DETAIL,P3,medium,DEVELOPMENT,YES
PRINCIPAL,NotA,DEVELOPMENT,junior,EMP_DETAIL,P3,low,DEVELOPMENT,YES
PRINCIPAL,NotA,DEVELOPMENT,intermediate,PROJECT_DETAIL,P3,medium,DEVELOPMENT,YES
PRINCIPAL,NotA,DEVELOPMENT,junior,PROJECT_DETAIL,P3,low,DEVELOPMENT,YES
PRINCIPAL,NotA,DEVELOPMENT,junior,PROJECT_COST,P3,low,FINANCE,YES
PRINCIPAL,NotA,DEVELOPMENT,intermediate,PROJECT_COST,P3,medium,FINANCE,YES
PRINCIPAL,NotA,DEVELOPMENT,senior,SERVER,P3,high,TECHNICAL,YES
PRINCIPAL,NotA,DEVELOPMENT,intermediate,DATABASE,P3,medium,TECHNICAL,YES
SYSTEM_ARCHITECT,P3,DEVELOPMENT,junior,PROJECT_DETAIL,P3,low,DEVELOPMENT,YES
SYSTEM_ARCHITECT,P3,DEVELOPMENT,senior,EMP_DETAIL,P3,high,DEVELOPMENT,YES
SYSTEM_ARCHITECT,P3,DEVELOPMENT,junior,SALARY_DETAIL,P3,medium,HR,NO
SYSTEM_ARCHITECT,P3,DEVELOPMENT,senior,PROJECT_COST,P3,medium,FINANCE,YES
SYSTEM_ARCHITECT,P3,DEVELOPMENT,senior,SERVER,P3,medium,TECHNICAL,YES
SYSTEM_ARCHITECT,P3,DEVELOPMENT,junior,DATABASE,P3,low,TECHNICAL,YES
SYSTEM_ARCHITECT,P3,DEVELOPMENT,intermediate,NETWORK_SETUP,P3,medium,TECHNICAL,YES
FINANCE MANAGER,NotA,FINANCE,junior,FINANCE_REPORT,P3,low,FINANCE,YES
FINANCE MANAGER,NotA,FINANCE,junior,FINANCE_REPORT,P3,medium,FINANCE,NO
FINANCE MANAGER,NotA,FINANCE,junior,FINANCE_REPORT,P3,high,FINANCE,NO
FINANCE MANAGER,NotA,FINANCE,junior,ALLOCATED_FUND,P3,low,FINANCE,YES
FINANCE MANAGER,NotA,FINANCE,junior,ALLOCATED_FUND,P3,medium,FINANCE,NO
FINANCE MANAGER,NotA,FINANCE,junior,ALLOCATED_FUND,P3,high,FINANCE,NO
FINANCE MANAGER,NotA,FINANCE,junior,TAX_DETAIL,P3,low,FINANCE,YES
FINANCE MANAGER,NotA,FINANCE,junior,TAX_DETAIL,P3,medium,FINANCE,NO
FINANCE MANAGER,NotA,FINANCE,junior,TAX_DETAIL,P3,high,FINANCE,NO
FINANCE MANAGER,NotA,FINANCE,intermediate,FINANCE_REPORT,P3,low,FINANCE,YES
FINANCE MANAGER,NotA,FINANCE,intermediate,FINANCE_REPORT,P3,medium,FINANCE,YES
FINANCE MANAGER,NotA,FINANCE,intermediate,FINANCE_REPORT,P3,high,FINANCE,NO
FINANCE MANAGER,NotA,FINANCE,intermediate,ALLOCATED_FUND,P3,low,FINANCE,YES
FINANCE MANAGER,NotA,FINANCE,intermediate,ALLOCATED_FUND,P3,medium,FINANCE,YES
FINANCE MANAGER,NotA,FINANCE,intermediate,ALLOCATED_FUND,P3,high,FINANCE,NO
FINANCE MANAGER,NotA,FINANCE,intermediate,TAX_DETAIL,P3,low,FINANCE,YES
FINANCE MANAGER,NotA,FINANCE,intermediate,TAX_DETAIL,P3,medium,FINANCE,YES
FINANCE MANAGER,NotA,FINANCE,intermediate,TAX_DETAIL,P3,high,FINANCE,NO
FINANCE MANAGER,NotA,FINANCE,senior,FINANCE_REPORT,P3,low,FINANCE,YES
FINANCE MANAGER,NotA,FINANCE,senior,FINANCE_REPORT,P3,medium,FINANCE,YES
FINANCE MANAGER,NotA,FINANCE,senior,FINANCE_REPORT,P3,high,FINANCE,YES
FINANCE MANAGER,NotA,FINANCE,senior,ALLOCATED_FUND,P3,low,FINANCE,YES
FINANCE MANAGER,NotA,FINANCE,senior,ALLOCATED_FUND,P3,medium,FINANCE,YES
FINANCE MANAGER,NotA,FINANCE,senior,ALLOCATED_FUND,P3,high,FINANCE,YES
FINANCE MANAGER,NotA,FINANCE,senior,TAX_DETAIL,P3,low,FINANCE,YES
FINANCE MANAGER,NotA,FINANCE,senior,TAX_DETAIL,P3,medium,FINANCE,YES
FINANCE MANAGER,NotA,FINANCE,senior,TAX_DETAIL,P3,high,FINANCE,YES
TESTER,P3,DEVELOPMENT,senior,DATABASE,P3,low,TECHNICAL,YES
TESTER,P3,DEVELOPMENT,senior,DATABASE,P3,medium,TECHNICAL,YES
TESTER,P3,DEVELOPMENT,senior,DATABASE,P3,high,TECHNICAL,YES
TESTER,P3,DEVELOPMENT,senior,DATABASE,P1,low,TECHNICAL,NO
TESTER,P3,DEVELOPMENT,senior,DATABASE,P1,medium,TECHNICAL,NO
TESTER,P3,DEVELOPMENT,senior,DATABASE,P1,high,TECHNICAL,NO
TESTER,P3,DEVELOPMENT,junior,DATABASE,P3,low,TECHNICAL,YES
TESTER,P3,DEVELOPMENT,junior,DATABASE,P3,medium,TECHNICAL,NO
TESTER,P3,DEVELOPMENT,junior,DATABASE,P3,high,TECHNICAL,NO
TESTER,P3,DEVELOPMENT,junior,DATABASE,P1,low,TECHNICAL,NO
TESTER,P3,DEVELOPMENT,junior,DATABASE,P1,medium,TECHNICAL,NO
TESTER,P3,DEVELOPMENT,junior,DATABASE,P1,high,TECHNICAL,NO
TESTER,P3,DEVELOPMENT,intermediate,DATABASE,P3,low,TECHNICAL,YES
TESTER,P3,DEVELOPMENT,intermediate,DATABASE,P3,medium,TECHNICAL,YES
TESTER,P3,DEVELOPMENT,intermediate,DATABASE,P3,high,TECHNICAL,NO
TESTER,P3,DEVELOPMENT,intermediate,DATABASE,P2,low,TECHNICAL,NO
TESTER,P3,DEVELOPMENT,intermediate,DATABASE,P2,medium,TECHNICAL,NO
TESTER,P3,DEVELOPMENT,intermediate,DATABASE,P2,high,TECHNICAL,NO
SECURITY_ENGINEER,NotA,TECHNICAL,junior,SALARY_DETAIL,P3,medium,HR,NO
SECURITY_ENGINEER,NotA,TECHNICAL,junior,CLIENT_DETAIL,P3,low,HR,NO
SECURITY_ENGINEER,NotA,TECHNICAL,intermediate,EMP_DETAIL,P3,high,DEVELOPMENT,NO
SECURITY_ENGINEER,NotA,TECHNICAL,junior,PROJECT_DETAIL,P3,low,DEVELOPMENT,NO
SECURITY_ENGINEER,NotA,TECHNICAL,junior,PROJECT_COST,P3,high,FINANCE,NO
SECURITY_ENGINEER,NotA,TECHNICAL,senior,SERVER,P3,medium,TECHNICAL,YES
SECURITY_ENGINEER,NotA,TECHNICAL,junior,NETWORK_SETUP,P3,low,TECHNICAL,YES
SECURITY_ENGINEER,NotA,TECHNICAL,intermediate,PF_DETAIL,P2,high,HR,NO
SECURITY_ENGINEER,NotA,TECHNICAL,junior,ALLOCATED_FUND,P1,low,FINANCE,NO
SECURITY_ENGINEER,NotA,TECHNICAL,junior,ALLOCATED_FUND,P2,medium,FINANCE,NO
SECURITY_ENGINEER,NotA,TECHNICAL,junior,TAX_DETAIL,P1,medium,FINANCE,NO
SECURITY_ENGINEER,NotA,TECHNICAL,junior,TAX_DETAIL,P2,medium,FINANCE,NO
DESIGNER,P3,DEVELOPMENT,intermediate,GPU,P3,medium,TECHNICAL,YES
NETWORK_ENGINEER,NotA,TECHNICAL,intermediate,GPU,P3,medium,TECHNICAL,YES
PROGRAMMER,P3,DEVELOPMENT,intermediate,GPU,P1,high,TECHNICAL,NO
PROJECT_MANAGER,P3,DEVELOPMENT,intermediate,GPU,P2,high,TECHNICAL,NO
DATABASE_ENGINEER,NotA,TECHNICAL,junior,GPU,P3,low,TECHNICAL,YES
DESIGNER,P3,DEVELOPMENT,junior,GPU,P2,low,TECHNICAL,NO
DESIGNER,P3,DEVELOPMENT,junior,GPU,P1,medium,TECHNICAL,NO
DESIGNER,P3,DEVELOPMENT,junior,GPU,P2,low,TECHNICAL,YES
FINANCE MANAGER,NotA,FINANCE,junior,GPU,P3,medium,TECHNICAL,NO
HR MANAGER,NotA,HR,junior,GPU,P3,low,TECHNICAL,NO
PROGRAMMER,P3,DEVELOPMENT,junior,GPU,P2,medium,TECHNICAL,NO
PROJECT_LEADER,NotA,DEVELOPMENT,junior,GPU,P3,low,TECHNICAL,YES
PROJECT_MANAGER,P3,DEVELOPMENT,junior,GPU,P1,low,TECHNICAL,NO
SDE,P3,DEVELOPMENT,junior,GPU,P2,medium,TECHNICAL,NO
SDE,P3,DEVELOPMENT,junior,GPU,P1,high,TECHNICAL,NO
SYSTEM_ARCHITECT,P1,DEVELOPMENT,junior,GPU,P2,low,TECHNICAL,NO
SYSTEM_ARCHITECT,P2,DEVELOPMENT,junior,GPU,P1,high,TECHNICAL,NO
CTO,NotA,ADMINISTRATION,senior,GPU,P3,medium,TECHNICAL,YES
IT_MANAGER,NotA,TECHNICAL,senior,GPU,P3,medium,TECHNICAL,YES
PRINCIPAL,NotA,DEVELOPMENT,senior,GPU,P1,high,TECHNICAL,YES
PRINCIPAL,NotA,DEVELOPMENT,senior,GPU,P2,high,TECHNICAL,YES
PROGRAMMER,P3,DEVELOPMENT,senior,GPU,P3,high,TECHNICAL,YES
PROJECT_MANAGER,P3,DEVELOPMENT,senior,GPU,P3,medium,TECHNICAL,YES
SDE,P3,DEVELOPMENT,senior,GPU,P3,high,TECHNICAL,YES
SECURTY_ENGINEER,NotA,TECHNICAL,senior,GPU,P1,high,TECHNICAL,YES
SECURTY_ENGINEER,NotA,TECHNICAL,senior,GPU,P2,medium,TECHNICAL,YES
SYSTEM_ARCHITECT,P1,DEVELOPMENT,senior,GPU,P1,high,TECHNICAL,YES
SYSTEM_ARCHITECT,P2,DEVELOPMENT,senior,GPU,P2,medium,TECHNICAL,YES
CTO,NotA,ADMINISTRATION,senior,STORAGE,P3,medium,TECHNICAL,YES
DATABASE_ENGINEER,NotA,TECHNICAL,junior,STORAGE,P3,low,TECHNICAL,YES
DESIGNER,P3,DEVELOPMENT,intermediate,STORAGE,P3,medium,TECHNICAL,YES
DESIGNER,P3,DEVELOPMENT,junior,STORAGE,P2,low,TECHNICAL,NO
DESIGNER,P3,DEVELOPMENT,junior,STORAGE,P1,medium,TECHNICAL,NO
DESIGNER,P3,DEVELOPMENT,junior,STORAGE,P2,low,TECHNICAL,YES
FINANCE MANAGER,NotA,FINANCE,junior,STORAGE,P3,medium,TECHNICAL,NO
HR MANAGER,NotA,HR,junior,STORAGE,P3,low,TECHNICAL,NO
IT_MANAGER,NotA,TECHNICAL,senior,STORAGE,P3,medium,TECHNICAL,YES
NETWORK_ENGINEER,NotA,TECHNICAL,intermediate,STORAGE,P3,medium,TECHNICAL,YES
PRINCIPAL,NotA,DEVELOPMENT,senior,STORAGE,P1,high,TECHNICAL,YES
PRINCIPAL,NotA,DEVELOPMENT,senior,STORAGE,P2,high,TECHNICAL,YES
PROGRAMMER,P3,DEVELOPMENT,senior,STORAGE,P3,high,TECHNICAL,YES
PROGRAMMER,P3,DEVELOPMENT,junior,STORAGE,P2,medium,TECHNICAL,NO
PROGRAMMER,P3,DEVELOPMENT,intermediate,STORAGE,P1,high,TECHNICAL,NO
PROJECT_LEADER,NotA,DEVELOPMENT,junior,STORAGE,P3,low,TECHNICAL,YES
PROJECT_MANAGER,P3,DEVELOPMENT,senior,STORAGE,P3,medium,TECHNICAL,YES
PROJECT_MANAGER,P3,DEVELOPMENT,intermediate,STORAGE,P2,high,TECHNICAL,NO
PROJECT_MANAGER,P3,DEVELOPMENT,junior,STORAGE,P1,low,TECHNICAL,NO
SDE,P3,DEVELOPMENT,senior,STORAGE,P3,high,TECHNICAL,YES
SDE,P3,DEVELOPMENT,junior,STORAGE,P2,medium,TECHNICAL,NO
SDE,P3,DEVELOPMENT,junior,STORAGE,P1,high,TECHNICAL,NO
SECURTY_ENGINEER,NotA,TECHNICAL,senior,STORAGE,P1,high,TECHNICAL,YES
SECURTY_ENGINEER,NotA,TECHNICAL,senior,STORAGE,P2,medium,TECHNICAL,YES
SYSTEM_ARCHITECT,P1,DEVELOPMENT,senior,STORAGE,P1,high,TECHNICAL,YES
SYSTEM_ARCHITECT,P1,DEVELOPMENT,junior,STORAGE,P2,low,TECHNICAL,NO
SYSTEM_ARCHITECT,P2,DEVELOPMENT,junior,STORAGE,P1,high,TECHNICAL,NO
SYSTEM_ARCHITECT,P2,DEVELOPMENT,senior,STORAGE,P2,medium,TECHNICAL,YES
CEO,NotA,ADMINISTRATION,senior,PF_DETAIL,P3,low,HR,YES
CTO,NotA,ADMINISTRATION,senior,PF_DETAIL,P3,medium,HR,NO
DATABASE_ENGINEER,NotA,TECHNICAL,junior,PF_DETAIL,P3,medium,HR,NO
DESIGNER,P3,DEVELOPMENT,intermediate,PF_DETAIL,P3,high,HR,NO
DESIGNER,P3,DEVELOPMENT,junior,PF_DETAIL,P2,medium,HR,NO
FINANCE MANAGER,NotA,FINANCE,junior,PF_DETAIL,P3,low,HR,NO
HR MANAGER,NotA,HR,junior,PF_DETAIL,P3,low,HR,YES
IT_MANAGER,NotA,TECHNICAL,junior,PF_DETAIL,P3,medium,HR,NO
NETWORK_ENGINEER,NotA,TECHNICAL,junior,PF_DETAIL,P3,medium,HR,NO
PRINCIPAL,NotA,DEVELOPMENT,junior,PF_DETAIL,P1,low,HR,NO
PRINCIPAL,NotA,DEVELOPMENT,junior,PF_DETAIL,P2,low,HR,NO
PROGRAMMER,P3,DEVELOPMENT,junior,PF_DETAIL,P1,low,HR,NO
PROJECT_LEADER,NotA,DEVELOPMENT,junior,PF_DETAIL,P3,low,HR,NO
PROJECT_MANAGER,P3,DEVELOPMENT,junior,PF_DETAIL,P3,medium,HR,NO
PROJECT_MANAGER,P3,DEVELOPMENT,junior,PF_DETAIL,P1,low,HR,NO
PROJECT_MANAGER,P3,DEVELOPMENT,junior,PF_DETAIL,P2,high,HR,NO
SDE,P3,DEVELOPMENT,junior,PF_DETAIL,P2,medium,HR,NO
SDE,P3,DEVELOPMENT,junior,PF_DETAIL,P1,medium,HR,NO
SECURTY_ENGINEER,NotA,TECHNICAL,junior,PF_DETAIL,P1,high,HR,NO
SECURTY_ENGINEER,NotA,TECHNICAL,junior,PF_DETAIL,P2,medium,HR,NO
SYSTEM_ARCHITECT,P1,DEVELOPMENT,junior,PF_DETAIL,P1,low,HR,NO
SYSTEM_ARCHITECT,P2,DEVELOPMENT,junior,PF_DETAIL,P1,low,HR,NO
MTS,P3,DEVELOPMENT,junior,PROJECT_DETAIL,P3,low,DEVELOPMENT,YES
MTS,P3,DEVELOPMENT,junior,SALARY_DETAIL,P2,medium,HR,NO
MTS,P3,DEVELOPMENT,junior,CLIENT_DETAIL,P1,medium,HR,NO
MTS,P3,DEVELOPMENT,junior,CLIENT_DETAIL,P2,medium,HR,NO
MTS,P3,DEVELOPMENT,junior,PROJECT_COST,P1,low,FINANCE,NO
MTS,P3,DEVELOPMENT,junior,PROJECT_COST,P2,high,FINANCE,NO
MTS,P3,DEVELOPMENT,senior,SERVER,P3,high,TECHNICAL,YES
MTS,P3,DEVELOPMENT,junior,SERVER,P2,medium,TECHNICAL,NO
MTS,P3,DEVELOPMENT,junior,DATABASE,P3,low,TECHNICAL,YES
MTS,P3,DEVELOPMENT,junior,DATABASE,P2,low,TECHNICAL,NO
MTS,P3,DEVELOPMENT,junior,PROJECT_DETAIL,P1,high,DEVELOPMENT,NO
MTS,P3,DEVELOPMENT,intermediate,EMP_DETAIL,P1,high,DEVELOPMENT,NO
MTS,P3,DEVELOPMENT,junior,EMP_DETAIL,P2,high,DEVELOPMENT,NO
MTS,P3,DEVELOPMENT,junior,SALARY_DETAIL,P1,medium,HR,NO
MTS,P3,DEVELOPMENT,junior,SERVER,P1,high,TECHNICAL,NO
MTS,P3,DEVELOPMENT,junior,DATABASE,P1,medium,TECHNICAL,NO
MTS,P3,DEVELOPMENT,junior,NETWORK_SETUP,P1,low,TECHNICAL,NO
MTS,P3,DEVELOPMENT,junior,NETWORK_SETUP,P2,high,TECHNICAL,NO
MTS,P1,DEVELOPMENT,junior,PF_DETAIL,P1,high,HR,NO
MTS,P1,DEVELOPMENT,junior,PF_DETAIL,P2,medium,HR,NO
MTS,P2,DEVELOPMENT,junior,PF_DETAIL,P1,medium,HR,NO
MTS,P2,DEVELOPMENT,junior,PF_DETAIL,P2,medium,HR,NO
MTS,P1,DEVELOPMENT,junior,ALLOCATED_FUND,P1,high,FINANCE,NO
MTS,P1,DEVELOPMENT,junior,ALLOCATED_FUND,P2,low,FINANCE,NO
MTS,P2,DEVELOPMENT,junior,FINANCE_REPORT,P1,low,FINANCE,NO
MTS,P2,DEVELOPMENT,intermediate,FINANCE_REPORT,P2,high,FINANCE,NO
MTS,P1,DEVELOPMENT,junior,TAX_DETAIL,P1,high,FINANCE,NO
MTS,P1,DEVELOPMENT,junior,TAX_DETAIL,P2,low,FINANCE,NO
MTS,P2,DEVELOPMENT,junior,TAX_DETAIL,P1,low,FINANCE,NO
MTS,P2,DEVELOPMENT,junior,TAX_DETAIL,P2,low,FINANCE,NO
MTS,P1,DEVELOPMENT,senior,STORAGE,P1,high,TECHNICAL,YES
MTS,P1,DEVELOPMENT,junior,GPU,P2,low,TECHNICAL,NO
MTS,P2,DEVELOPMENT,intermediate,STORAGE,P1,high,TECHNICAL,NO
DATA_ANALYST,P3,DEVELOPMENT,junior,PROJECT_DETAIL,P3,low,DEVELOPMENT,YES
DATA_ANALYST,P3,DEVELOPMENT,junior,SALARY_DETAIL,P2,medium,HR,NO
DATA_ANALYST,P3,DEVELOPMENT,junior,CLIENT_DETAIL,P1,medium,HR,NO
DATA_ANALYST,P3,DEVELOPMENT,junior,CLIENT_DETAIL,P2,medium,HR,NO
DATA_ANALYST,P3,DEVELOPMENT,junior,PROJECT_COST,P1,low,FINANCE,NO
DATA_ANALYST,P3,DEVELOPMENT,junior,PROJECT_COST,P2,high,FINANCE,NO
DATA_ANALYST,P3,DEVELOPMENT,senior,SERVER,P3,high,TECHNICAL,YES
DATA_ANALYST,P3,DEVELOPMENT,junior,SERVER,P2,medium,TECHNICAL,NO
DATA_ANALYST,P3,DEVELOPMENT,junior,DATABASE,P3,low,TECHNICAL,YES
